SbjNum,fecha,Clave.Ent,Entidad,Clave.Mun,KEY,Municipio,Clave.Localidad,Localidad,Clave.Sec,Clave.Manzana,PA,PB,B1,PD,P1_1,P1_2,P1_3,P1_5,P1_6,P1_7,P2_1,P2_2,P2_3,P2_5,P2_6,P2_7,P3,P3_1,P4,P5,P7,ideologia,P8,percepcion,P9,P10,P11,P12_1,P12_2,P12_4,P12_5,NIVEL,Ponderador
189880424,07/09/2023,24,SAN LUIS POTOSI,35,24_35,"SOLEDAD DE GRACIANO SANCHEZ, S.L.P.",1,SOLEDAD DE GRACIANO SANCHEZ,1246,21,2,23,,1,1,1,1,1,1,,3,2,3,2,2,,1,1,2,7,2,MORENA,7,Que siga gobernando Morena,1,2,3,1,3,1,1,6,1.96
189874324,07/09/2023,9,CIUDAD DE MEXICO,5,9_5,"GUSTAVO A. MADERO, CDMX",1,CIUDAD DE MEXICO,919,2,1,52,,1,1,1,1,1,1,1,99,4,4,4,2,4,1,1,2,7,2,MORENA,7,Que siga gobernando Morena,1,3,2,1,1,1,1,2,0.66
189879421,07/09/2023,30,VERACRUZ,55,30_55,"CUITLAHUAC, VER.",1,CUITLAHUAC,1297,6,2,61,,1,1,1,1,1,1,1,1,4,3,4,2,4,1,1,2,7,1,MORENA,7,Que siga gobernando Morena,1,2,2,1,1,1,1,2,0.65
189836179,07/09/2023,14,JALISCO,120,14_120,"ZAPOPAN, JAL.",2,NUEVO MEXICO,3499,22,1,25,,1,1,2,2,2,1,,2,,,,2,,1,1,2,7,2,MORENA,7,Que siga gobernando Morena,1,3,2,1,1,1,1,3,0.85
9230048,07/09/2023,6,COLIMA,1,6_1,"COLIMA, COL.",1,COLIMA,43,75,2,45,,1,1,1,1,2,1,,4,2,4,,2,,1,1,2,4,2,PT- Partido del Trabajo,4,Que siga gobernando Morena,1,1,2,3,3,3,2,3,0.57
9230035,07/09/2023,8,CHIHUAHUA,37,8_37,"JUAREZ, CHIH.",1,JUAREZ,2829,26,2,50,,1,1,1,1,1,1,,3,4,4,98,2,,1,1,2,6,1,MC - Movimiento Ciudadano,6,Que siga gobernando Morena,1,2,1,3,3,3,1,4,0.7
189899288,07/09/2023,9,CIUDAD DE MEXICO,7,9_7,"IZTAPALAPA, CDMX",1,CIUDAD DE MEXICO,2693,12,1,85,,1,1,1,1,1,1,2,2,3,3,2,2,,1,1,2,7,1,MORENA,7,Que siga gobernando Morena,1,2,2,3,1,2,2,6,1.25
189898189,07/09/2023,9,CIUDAD DE MEXICO,7,9_7,"IZTAPALAPA, CDMX",1,CIUDAD DE MEXICO,2693,47,1,38,,1,1,2,1,1,1,1,3,,4,4,2,4,1,1,2,97,7,Ninguno,97,Que haya un cambio de partido en el gobierno,2,2,2,97,97,97,97,1,0.55
189883885,07/09/2023,9,CIUDAD DE MEXICO,5,9_5,"GUSTAVO A. MADERO, CDMX",1,CIUDAD DE MEXICO,1361,17,2,83,,1,1,2,1,2,1,2,1,,5,,2,,98,1,99,7,97,PVEM – Partido Verde Ecologista de México,5,Que siga gobernando Morena,1,2,2,3,1,1,1,3,0.71
189891533,07/09/2023,9,CIUDAD DE MEXICO,14,9_14,"BENITO JUAREZ, CDMX",1,CIUDAD DE MEXICO,4405,19,1,63,,1,1,1,1,1,1,1,2,1,1,2,5,5,1,1,97,7,2,MORENA,7,Que siga gobernando Morena,1,3,3,1,1,1,1,3,0.63
189886811,07/09/2023,2,BAJA CALIFORNIA,2,2_2,"MEXICALI, B.C.",33,SANTA ISABEL,544,34,1,34,,1,1,2,1,1,1,,1,,4,4,5,,1,1,2,7,2,MORENA,7,Que siga gobernando Morena,1,3,2,1,1,1,1,3,0.85
